"genre","Average_Votes","Total_budget"
"Action",140575.814553991,82886723068
"Adventure",101541.550351288,15038060000
"Animation",127672.952662722,21144070000
"Biography",90422.8397291196,7973379768
"Comedy",54283.1839643653,34137781215
"Crime",90930.2196007259,9057244080
"Drama",69803.5428759894,20164855737
"Family",68504.5454545455,204500000
"Fantasy",58815.9090909091,709200000
"History",79,323562
"Horror",68084.850931677,3385842000
"Music",12000,0
"Musical",481,0
"Mystery",230125.75,541900001
"Romance",35997.4,120200000
"Sci-Fi",88493,157870000
"Sport",691,0
"Thriller",19930.6875,94600000
"Western",2066.33333333333,2.1e+07
